regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
41202013815;LV53ZZZ41202013815;"IK ""KRASTNIEKI A I""";IK;KRASTNIEKI A I;"";0;K;Komercreģistrs;IK;Individuālais komersants;1998-02-26;2014-04-10;L;"Dundagas nov., Kolkas pag., Kolka, ""Krastnieki""";3275;103045133;100015821;0;0885162;
40008234596;LV49ZZZ40008234596;"""House of Glory""";"";House of Glory;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2015-03-02;; ;Rīga, Latgales iela 180 - 5;1019;112303082;0;100003003;"";
000703116;"";"Žurnāls ""KOKS DIZAINA PASAULĒ""";"";"";"";;M;MIL reģistrs;MIL;Masu informācijas līdzeklis;2006-11-24;; ;"";"";0;0;0;"";
40103223770;;"Sabiedrība ar ierobežotu atbildību ""DVLG""";Sabiedrība ar ierobežotu atbildību;DVLG;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-04-06;2013-12-12;L;Tukuma nov., Tukums, Eksporta iela 8;3101;105416854;100016261;100003671;0900100;
44102037852;LV96ZZZ44102037852;IK radošā studija KuMode;IK;radošā studija KuMode;"";1;K;Komercreģistrs;IK;Individuālais komersants;2017-10-24;2022-02-04;L;"Gulbenes nov., Beļavas pag., ""Jaunaudzes""";4410;104519621;100015854;0;0500244;
40203572370;LV41ZZZ40203572370;SIA Raimond fantastic;SIA;Raimond fantastic;"";1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2024-07-02;; ;Jūrmala, Mellužu prospekts 76;2008;101728425;0;100003036;"";
40008250514;LV70ZZZ40008250514;"Nodibinājums ""DINAMO RĪGA SS""";Nodibinājums;DINAMO RĪGA SS;"";0;B;Biedrību un nodibinājumu reģistrs;NOD;Nodibinājums;2016-04-14;; ;Rīga, Vienības gatve 109;1058;104420127;0;100003003;"";
44101023183;LV61ZZZ44101023183;"Cēsu rajona Drabešu pagasta zemnieku saimniecība ""ŪBELES""";Cēsu rajona Drabešu pagasta zemnieku saimniecība;ŪBELES;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1996-04-17;2017-04-12;L;"Amatas nov., Drabešu pag., ""Ūbeles""";4140;100010716;100015276;0;0424746;
44102037886;LV51ZZZ44102037886;"IK ""VALKRĪG""";IK;VALKRĪG;"";0;K;Komercreģistrs;IK;Individuālais komersants;2017-11-21;2019-01-03;L;Valmiera, Linarda Laicena iela 13 - 45;4201;114386293;0;100003735;0250000;
000701810;"";"žurnāls ""MORSKOJ BIZNES""";"";"";"";;M;MIL reģistrs;MIL;Masu informācijas līdzeklis;1995-08-03;; ;Rīga, Baltāsbaznīcas iela 52;1029;0;0;100003003;"";
000700473;"";"laikraksts ""ZA ROĢINU""";"";"";"";;M;MIL reģistrs;MIL;Masu informācijas līdzeklis;1991-05-15;1992-06-01; ;;"";0;0;;;
90000519196;LV85ZZZ90000519196;ROMAS KATOĻU BAZNĪCAS RĒZEKNES-AGLONAS DIECĒZE;"";ROMAS KATOĻU BAZNĪCAS RĒZEKNES-AGLONAS DIECĒZE;"";1;R;Reliģisko organizāciju un to iestāžu reģistrs;KAT;Katoļu baznīcas publisko tiesību juridiskā persona;1998-06-29;; ;Rēzekne, Latgales iela 88;4601;101677294;0;100003052;0210000;
40003710276;LV30ZZZ40003710276;"Sabiedrība ar ierobežotu atbildību ""GroGlass""";Sabiedrība ar ierobežotu atbildību;GroGlass;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2004-11-11;; ;Rīga, Katlakalna iela 4B;1073;105457192;0;100003003;0010000;
50103563161;LV64ZZZ50103563161;Med-Sea Brokers SIA;"";Med-Sea Brokers;SIA;1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-07-06;; ;"Dobeles nov., Ukru pag., ""Apses""";3714;102821528;100016622;0;"";
